,street,number,postal_code,neighbourhood,region,latitude,longitude,name
1903,Hegdehaugsveien,36,352,Homansbyen,Oslo,59.9235,10.725313,Hegdehaugsveien 36
1904,Hausmanns gate,31C,182,hammer,Oslo,59.917837,10.753786999999999,Hausmanns gate 31C
1905,Karl Johans gate,27,159,hammer,Oslo,59.913595,10.73997,Karl Johans gate 27
1906,Granbergstubben,16,1275,Rønning,Oslo,59.826419,10.836913,Granbergstubben 16
1907,Carl Berners plass,2,568,Sindsen,Oslo,59.926437,10.776118,Carl Berners plass 2
1908,Kaj Munks Vei,41,876,Korsvold,Oslo,59.952437,10.751197,Kaj Munks Vei 41
1909,Hegdehaugsveien,32,352,Homansbyen,Oslo,59.92181,10.72649,Hegdehaugsveien 32
1910,Fridtjof Nansens Vei,2,369,Majorstuen,Oslo,59.929548,10.712208,Fridtjof Nansens Vei 2
1911,Fossumberget,49,983,Høybråten,Oslo,59.959257,10.933117,Fossumberget 49
1912,Grev Wedels plass,2,151,St. Hanshaugen,Oslo,59.907189,10.741444,Grev Wedels plass 2
1913,Kristiansands gate,2,463,Ila,Oslo,59.938268,10.752807,Kristiansands gate 2
1914,Refstadveien,60,589,Tonsenhagen,Oslo,59.942519,10.811350000000001,Refstadveien 60
1915,Trondheimsveien,14A,560,Enerhaugen,Oslo,59.919653,10.76467,Trondheimsveien 14A
1916,Seilduksgata,17,553,Fredensborg,Oslo,59.925441,10.759491,Seilduksgata 17
1917,Veitvetveien,8,596,Erich Mogensøns Vei,Oslo,59.943985,10.847813,Veitvetveien 8
1918,Jernbanetorget,6,154,St. Hanshaugen,Oslo,59.911864,10.751097,Jernbanetorget 6
1919,Sigurd Hoels Vei,45,655,Tøyen,Oslo,59.917869,10.787464,Sigurd Hoels Vei 45
1920,Østre Elvebakke,7,182,hammer,Oslo,59.919171,10.754650999999999,Østre Elvebakke 7
1921,Ullevålsveien,1,165,hammer,Oslo,59.918116,10.74375,Ullevålsveien 1
1922,Ekebergveien,228,1162,Ekebergveien,Oslo,59.861331,10.800955,Ekebergveien 228
1923,Holmenkollveien,119,787,Holmenkollen,Oslo,59.961112,10.667218,Holmenkollveien 119
