tilsynid,org_navn,orgnummer,adresse,postnr,poststed,kategori1,kategori2,kategori3,kategori4,karakter1,karakter2,karakter3,karakter4,total_karakter,dato,tilsynsbesoektype,tilsynsobjektid,sakref,status
Z2212011714400250240DBAID_TilsynAvtale,Mahayana Asian Dining,899165322,Stortingsgata 12,0161,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,0,0,01122022,0,Z1304021649087453252ZJDBI_Tilsynsobjekt,2022/262357,0
Z1902280936420630240CXGAO_TilsynAvtale,Gohan,921265484,Torggata 16,0181,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,1,0,0,0,28022019,1,Z1809261501177293251HZUSM_Tilsynsobjekt,2019/51501,0
Z1807121141309940239JMSNF_TilsynAvtale,Wunderburger,915381251,TORGGATA 35,0182,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,2,2,2,0,2,11072018,1,Z1511192225031763252TBZMI_Tilsynsobjekt,2018/158818,0
Z1603181441292860240TNHHF_TilsynAvtale,Dobbel,897124092,TORDENSKIOLDS GATE 3,0160,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,0,0,18032016,1,Z1410221110278173252BBWLP_Tilsynsobjekt,2016/42141,0
Z1604220907242160240ENYTU_TilsynAvtale,SEA SUSHI BAR,998660408,Toftesgate 20A,0556,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,1,0,0,0,22042016,1,Z1303292238521363252TXEQO_Tilsynsobjekt,2016/76557,0
Z1605251446288660240BOBPG_TilsynAvtale,Dim Sum by New Taste of China,917229481,TORDENSKIOLDS GATE 8-10,0160,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,2,2,2,1,2,25052016,0,Z1604281701466813251PBQLQ_Tilsynsobjekt,2016/114341,0
Z1802130925182650240ONZHO_TilsynAvtale,Tavernan,913412699,YOUNGSTORGET 1,0181,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,1,0,13022018,1,Z1411051733238623252DMIPJ_Tilsynsobjekt,2018/38151,0
Z1707251301256350239NWZCI_TilsynAvtale,Egon Byporten Norport A/S,979975635,JERNBANETORGET 06,0154,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,0,0,25072017,0,Z1006052055005691190ZNTFF_Tilsynsobjekt,2017/152608,0
Z2205121818171210240UYESS_TilsynAvtale,Egon Byporten Norport A/S,979975635,JERNBANETORGET 06,0154,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,2,2,2,0,2,12052022,0,Z1006052055005691190ZNTFF_Tilsynsobjekt,2022/71934,0
Z1808031731336190240NTFVF_TilsynAvtale,East Kitchen,997277309,MARKVEIEN 50,0554,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,2,2,3,2,3,03082018,0,Z1606090949451380239YFYOW_Tilsynsobjekt,2018/175086,0
Z2111151623542710239KCFTE_TilsynAvtale,"McDonald's Familierestaurant, Bryn",924853816,Østensjøveien 79,0667,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,0,0,15112021,0,Z2004172114483420128QVRSV_Tilsynsobjekt,2021/235966,0
Z1809191546477910240KJBYF_TilsynAvtale,Burger Joint,913749405,HOLMENS GATE 3,0250,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,1,1,0,0,1,19092018,0,Z1408150942156473252KLYAC_Tilsynsobjekt,2018/205589,0
Z2001281452454780240HDHNV_TilsynAvtale,Burger Joint,913749405,HOLMENS GATE 3,0250,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,1,0,0,28012020,1,Z1408150942156473252KLYAC_Tilsynsobjekt,2020/12899,0
Z2207081356258540240BYTXJ_TilsynAvtale,Gondol Restaurant & Bar,921589964,Stovner senter 3,0985,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,1,1,0,0,08072022,1,Z2202171925161263102BQYQQ_Tilsynsobjekt,2022/140167,0
Z2201131240418380240BYOLV_TilsynAvtale,Jordbærpikene Lambertseter,995265990,Cecilie Thoresens vei 17/21 (Lambertseter Senter),1153,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,1,1,0,1,13012022,0,Z1103100817562511039DUCYP_Tilsynsobjekt,2022/7747,0
Z1701121502569380240IJQCV_TilsynAvtale,Far East,971665270,BERNT ANKERSGATE 4,0183,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,2,2,3,0,3,12012017,0,Z1006052055036571126XSIEQ_Tilsynsobjekt,2017/7947,0
Z2206021419294110239KNPTM_TilsynAvtale,Pappabuene as,994277421,RÅDHUSBRYGGE 1,0160,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,1,0,0,1,02062022,0,Z1006052106469301190KBQWJ_Tilsynsobjekt,2022/88681,0
Z2108031302251830240HMAWT_TilsynAvtale,Starbucks Coffee avd. Aker Brygge,916648073,Stranden 7,0250,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,1,0,0,1,03082021,0,Z1601291405187283252RCHME_Tilsynsobjekt,2021/153259,0
Z1708091737367370240TYPLE_TilsynAvtale,AKKA Arabisk Espresso Kafe,983571840,HEGDEHAUGSVEIEN 36,0352,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,2,2,2,1,2,09082017,0,Z1006052059064391189ZTXKT_Tilsynsobjekt,2017/161003,0
Z1708281353193040239UUFTT_TilsynAvtale,AKKA Arabisk Espresso Kafe,983571840,HEGDEHAUGSVEIEN 36,0352,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,1,0,28082017,1,Z1006052059064391189ZTXKT_Tilsynsobjekt,2017/161003,0
Z1601151851524300239PZXZM_TilsynAvtale,Beijing Palace,979722230,PILESTREDET 27,0164,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,2,2,2,2,2,15012016,0,Z1006052054241411190BRVTK_Tilsynsobjekt,2016/9841,0
Z2206101441347940240GNCYZ_TilsynAvtale,El Burro,922572984,Jernbanetorget 6,0154,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,0,0,10062022,1,Z2202211453509030391ZVIHR_Tilsynsobjekt,2022/100229,0
Z1804251507186050239PBGSD_TilsynAvtale,Domino's Pizza Grorud,819474842,Grorud Senter,0963,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,0,0,25042018,0,Z1709221059432433251JYMME_Tilsynsobjekt,2018/98526,0
Z1901220920116100240TMBAN_TilsynAvtale,Never Mind,972794694,VOGTS GATE 68,0477,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,0,0,22012019,1,Z1006052055371331127EQJMD_Tilsynsobjekt,2019/14902,0
Z2211181330107480239RWJCP_TilsynAvtale,The Thief Hotel AS,995778386,Landgangen 1,0252,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,0,0,18112022,0,Z1304030804432763128MJAVB_Tilsynsobjekt,2022/181757,0
Z1701180839125140240PLDMV_TilsynAvtale,Arno Ristorante,914542162,FREDENSBORGVEIEN 30 B,0177,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,1,1,17012017,0,Z1605231107151873252KJQPV_Tilsynsobjekt,2017/11167,0
Z2209162049196640239HWCRH_TilsynAvtale,Japo Sushi Frogner,916641869,Frognerveien 1,0257,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,1,0,0,1,15092022,0,Z1804271532182513131WUQZG_Tilsynsobjekt,2022/200503,0
Z2001151445197910240QRGUQ_TilsynAvtale,Joe & The Juice Bjørvika,917586039,Dronning Eufemias gate 39,0194,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,2,0,0,0,2,15012020,1,Z1905012044289923148APGVE_Tilsynsobjekt,2019/152245,0
Z2206291136222510240RSVBO_TilsynAvtale,Dragon Bowl,925609560,Nydalsveien 33,0484,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,0,0,29062022,1,Z2110101618539380128FYSDB_Tilsynsobjekt,2022/129149,0
Z1703140830551420240KTYAZ_TilsynAvtale,Egon Ullevål,892312192,SOGNSVEIEN 77C,0855,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,1,1,0,1,13032017,0,Z1006052055017921127CWGUR_Tilsynsobjekt,2017/43410,0
Z1802280950305250240AOTZN_TilsynAvtale,Brødbakerne Skøyen,994338463,KARENSLYST ALLÉ 50,0279,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,0,0,28022018,1,Z1601041147237690386CJHKM_Tilsynsobjekt,2018/18730,0
Z2212161118220130239TAXJC_TilsynAvtale,Los Tacos Smestad,928926087,Hoffsveien 92,0377,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,1,0,16122022,1,Z2206021250433310127IYNGZ_Tilsynsobjekt,2022/255195,0
Z1801301229054050239FTORX_TilsynAvtale,Lille Persille avd. Storo,815046862,VITAMINVEIEN 7,0485,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,0,0,25012018,0,Z1604061058450713131CFKGD_Tilsynsobjekt,2018/25948,0
Z1602111313284960239IYUXB_TilsynAvtale,Cafe Cathedral,982345693,DRONNINGENS GATE 27,0154,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,1,0,11022016,1,Z1006052054387231190DAXGW_Tilsynsobjekt,2016/29622,0
Z1612091606194570240LEVGE_TilsynAvtale,Fyret Mat & Drikke A/S,976565924,YOUNGSTORGET 6,0181,Oslo,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,0,0,09122016,1,Z1006052055063791189YVQNI_Tilsynsobjekt,2016/233180,0
Z2111231551474160239NEVYT_TilsynAvtale,Wasabi Sushi,922962472,Hagegata 22,0653,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,2,2,2,0,2,23112021,0,Z2001041339184500127UUZKQ_Tilsynsobjekt,2021/241351,0
Z1611010901361520240PZWOC_TilsynAvtale,Clarion Collection Hotell Gabelshus,974081156,Gabelsgate 16,0272,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,2,2,2,0,2,31102016,0,Z1006052054507131190SOFHI_Tilsynsobjekt,2016/228646,0
Z1609231408551530240WEQAS_TilsynAvtale,Samson Egertorget,974999420,KARL JOHANS GATE 20,0159,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,1,0,0,0,23092016,1,Z1006052100204171189PTJQB_Tilsynsobjekt,2016/192619,0
Z1602021655204190239OTMRI_TilsynAvtale,Tukthuset Mat og Drikke,974432234,V/ SANTINOS YOUNGSTORGET HAMMERSBORGGATA 2,0181,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,1,2,2,02022016,0,Z1006052056169631127JHYGT_Tilsynsobjekt,2016/23578,0
Z1705231428010270240MEGTH_TilsynAvtale,Espresso House Pilestredet,912513602,Pilestredet 39,0166,Oslo,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,2,2,0,1,2,23052017,0,Z1403052156251863251EGUDT_Tilsynsobjekt,2017/106452,0
Z1804270937200200240BUSDF_TilsynAvtale,Grünerhaven Cuisine Suisse AS,972002607,OLAF RYES PLASS 12 12,0552,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,1,0,1,0,27042018,1,Z1006052055416081190SJSIS_Tilsynsobjekt,2018/90960,0
Z1806201406172790239WZJWI_TilsynAvtale,Samson Majorstuen,974999439,VALKYRIEGATA 8,0366,Oslo,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,0,0,20062018,0,Z1006052100206571127FVUQW_Tilsynsobjekt,2018/143299,0
Z1705181552036240239QFFYE_TilsynAvtale,Mats og Martin,994384031,MUSTADVEIEN 1 CC-VEST,0283,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,2,2,0,2,18052017,0,Z1006052055326541126WWUZO_Tilsynsobjekt,2017/93764,0
Z1905061602361660240TCGKT_TilsynAvtale,Taverna Klimataria,919559403,Parkveien 13,0350,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,0,0,06052019,1,Z1708181446506503251NMJQF_Tilsynsobjekt,2019/81432,0
Z1904120639483350239VPXHE_TilsynAvtale,Arte Pazza,887486212,ULLEVÅLSVEIEN 61,0171,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,0,0,12042019,1,Z1207101025389263132KJJFX_Tilsynsobjekt,2019/68931,0
Z2206171440056340240YCKYU_TilsynAvtale,Cajun,820387112,Festningsalmenningen,0150,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,1,0,1,1,17062022,0,Z2204191302431630128HHMCM_Tilsynsobjekt,2022/124499,0
Z2207041608152460240LKENX_TilsynAvtale,Espresso House Parkveien,913091515,PARKVEIEN 27,0350,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,3,0,0,3,04072022,0,Z1403071742164543251RPRIN_Tilsynsobjekt,2022/139732,0
Z2212141710463910239MXAHW_TilsynAvtale,Mat & Mer,996120813,Bergensgata 2,0468,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,1,0,0,1,14122022,0,Z1009271436184733251JQLWA_Tilsynsobjekt,2022/271005,0
Z1806280831329740240SDXQF_TilsynAvtale,Åpent bakeri Damplassen,919141093,Damplassen 24-25,0852,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,2,2,0,2,27062018,0,Z1709060946283500239XEIES_Tilsynsobjekt,2018/141944,0
Z2002061350063860240VUQLX_TilsynAvtale,Åpent bakeri Damplassen,919141093,Damplassen 24-25,0852,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,0,0,06022020,0,Z1709060946283500239XEIES_Tilsynsobjekt,2020/26977,0
