organisasjonsnummer,navn,registreringsdatoEnhetsregisteret,registrertIMvaregisteret,antallAnsatte,stiftelsesdato,registrertIForetaksregisteret,registrertIStiftelsesregisteret,registrertIFrivillighetsregisteret,konkurs,underAvvikling,underTvangsavviklingEllerTvangsopplosning,maalform,organisasjonsform_kode,organisasjonsform_beskrivelse,organisasjonsform__links_self_href,naeringskode1_beskrivelse,naeringskode1_kode,forretningsadresse_land,forretningsadresse_landkode,forretningsadresse_postnummer,forretningsadresse_poststed,forretningsadresse_adresse,forretningsadresse_kommune,forretningsadresse_kommunenummer,links_self_href
922820589,INJERA AS,2019-05-29,True,13.0,2019-04-24,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0366,OSLO,['Bogstadveien 64A'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/922820589
994987194,BISLETT BISTRO AS,2010-01-13,True,0.0,2010-01-04,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,2162,BRÅRUD,['Vestsidavegen 1039'],NES,3034,https://data.brreg.no/enhetsregisteret/api/enheter/994987194
918939393,MESOB RESTAURANT AS,2017-05-08,True,5.0,2017-04-24,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0187,OSLO,['Motzfeldts gate 5'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/918939393
999218962,CHACHA AS,2012-12-03,True,12.0,2012-11-16,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0366,OSLO,['Bogstadveien 53A'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/999218962
984799624,GRØNN AS,2002-09-03,True,27.0,2002-08-21,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,47.111,Norge,NO,0283,OSLO,['Lilleakerveien 31'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/984799624
919793627,LULU AS,2017-10-26,True,9.0,2017-09-08,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0181,OSLO,['Youngs gate 7'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/919793627
927152754,TAKASHI AS,2021-05-26,True,29.0,2021-04-13,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0252,OSLO,['Lille Stranden 4'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/927152754
928080161,TIKI SUSHI AS,2021-11-06,True,6.0,2021-09-24,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,2007,KJELLER,['Karly Skaars vei 38'],LILLESTRØM,3030,https://data.brreg.no/enhetsregisteret/api/enheter/928080161
915761720,HIGHFIVE SOLLI AS,2015-09-21,True,32.0,2015-07-29,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0257,OSLO,['Skovveien 4'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/915761720
899271262,BOZO AS,2013-01-31,True,16.0,2013-01-24,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0369,OSLO,['Sørkedalsveien 3A'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/899271262
996616525,CABARET AS,2011-02-24,True,34.0,2011-02-18,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0164,OSLO,['Kristian IVs gate 8'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/996616525
991482644,BAUER INVEST AS,2007-07-31,True,57.0,2007-06-13,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0350,OSLO,['Parkveien 12'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/991482644
921954158,VILLA HEFTYE AS,2018-12-19,True,0.0,2018-11-22,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Utleie av egen eller leid fast eiendom ellers,68.209,Norge,NO,0270,OSLO,['Munkedamsveien 62A'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/921954158
